name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Nashville Charm,40.0,District 6,Private room,30,2,2.0,3.0,1.0,private bath
Large Main Suite near Lake *ladies only NS plz,45.0,District 12,Private room,30,1,1.0,1.0,1.0,private bath
Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,90.0,District 18,Entire home/apt,2,4,2.0,2.0,1.0,bath
"SuperSweetSTUDIO, jacuzzi, open Nov 23, 6 mo",39.0,District 12,Private room,30,3,1.0,5.0,1.0,private bath
"MorningstarHouse, monthly room- open Aug 19",33.0,District 12,Private room,30,1,1.0,3.0,1.0,shared bath
"ButterflyRoom-queen room, private bath",39.0,District 12,Private room,30,2,1.0,2.0,1.0,private bath
"MorningstarHouse, monthly single room- open SOON!",32.0,District 12,Private room,30,3,1.0,3.0,1.0,shared bath
"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",282.0,District 19,Entire home/apt,2,4,2.0,2.0,2.5,bath
A+ Carriage House & Courtyard! 5 mins to Downtown,89.0,District 19,Entire home/apt,2,2,1.0,1.0,1.0,bath
"2 Master Suites, 30-day Rental 10 mins to downtown",99.0,District 16,Entire home/apt,2,6,2.0,3.0,2.0,bath
Cozy and Convenient in Donelson!,90.0,District 14,Private room,2,4,1.0,2.0,1.0,bath
Admire the Skyline from the Rooftop Terrace at a Chic Suite,166.0,District 19,Entire home/apt,2,2,1.0,1.0,1.5,bath
Cheap Vandy / Downtown Nashville CrashPad,500.0,District 19,Shared room,1,3,1.0,1.0,1.0,shared bath
Serenity Haven,30.0,District 6,Private room,30,1,1.0,1.0,1.0,private bath
Contemporary-Mod Paradise w/ Private Bathroom,94.0,District 6,Private room,2,2,1.0,1.0,1.0,private bath
Vintage style Eastside bungalow,68.0,District 7,Private room,1,2,1.0,1.0,1.0,private bath
Heart of Music Row  Private Suite (600 sq FT),130.0,District 19,Private room,2,3,1.0,2.0,1.0,private bath
Cheap Downtown Crashpad (Solo Travelers Only),104.0,District 19,Shared room,1,1,1.0,1.0,1.0,shared bath
"A Clean, Quiet Suite in a Great Neighborhood",142.0,District 6,Entire home/apt,3,2,1.0,1.0,1.0,bath
"3min to DWTN!/2 bds, 1.5bths/Private Suite",108.0,District 19,Entire home/apt,1,5,2.0,2.0,1.5,bath
Luxurious Cozy Guesthouse w/ EV level 2 charger,101.0,District 7,Entire home/apt,1,2,1.0,1.0,1.0,bath
Modern Studio in Hip Melrose,64.0,District 17,Entire home/apt,2,2,1.0,1.0,1.0,bath
Rustic Designer Suite near City Center,140.0,District 6,Entire home/apt,3,4,1.0,1.0,1.0,bath
Charming East Nashville Home,100.0,District 6,Entire home/apt,30,2,2.0,2.0,1.0,bath
